Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
139,Captain America: Civil War,2016,1152,12,https://letterboxd.com/film/captain-america-civil-war/
140,Back to the Future Part II,1989,1150,13,https://letterboxd.com/film/back-to-the-future-part-ii/
141,Thor: Ragnarok,2017,1150,12,https://letterboxd.com/film/thor-ragnarok/
142,Lilo & Stitch,2002,1150,12,https://letterboxd.com/film/lilo-stitch/
143,Iron Man,2008,1148,12,https://letterboxd.com/film/iron-man-2008/
144,Office Space,1999,1146,12,https://letterboxd.com/film/office-space/
145,Captain America: The Winter Soldier,2014,1144,12,https://letterboxd.com/film/captain-america-the-winter-soldier/
146,"O'Brother, Where Art Thou",2000,1143,12,https://letterboxd.com/film/o-brother-where-art-thou/
147,Ghostbusters,1984,1143,12,https://letterboxd.com/film/ghostbusters/
148,Slumdog Millionaire,2008,1142,12,https://letterboxd.com/film/slumdog-millionaire/
149,The Batman,2022,1141,12,https://letterboxd.com/film/the-batman/
150,John Wick,2014,1141,12,https://letterboxd.com/film/john-wick/
151,Kingsman: The Secret Service,2014,1140,12,https://letterboxd.com/film/kingsman-the-secret-service/
152,Isle of Dogs,2018,1138,12,https://letterboxd.com/film/isle-of-dogs-2018/
153,Sonic the Hedgehog 3,2024,1137,12,https://letterboxd.com/film/sonic-the-hedgehog-3/
154,E.T. the Extra-Terrestrial,1982,1137,12,https://letterboxd.com/film/et-the-extra-terrestrial/
155,Monster's Inc,2001,1135,12,https://letterboxd.com/film/monsters-inc/
156,Spider-Man: No Way Home,2021,1134,12,https://letterboxd.com/film/spider-man-no-way-home/
157,Monty Python's Life of Brian,1979,1134,13,https://letterboxd.com/film/monty-pythons-life-of-brian/
158,Bohemian Rhapsody,2018,1133,12,https://letterboxd.com/film/bohemian-rhapsody/
159,Limitless,2011,1132,12,https://letterboxd.com/film/limitless/
160,Fantastic Mr. Fox,2009,1131,12,https://letterboxd.com/film/fantastic-mr-fox/
161,Spider-Man 2,2004,1131,12,https://letterboxd.com/film/spider-man-2/
162,Ferris Bueller's Day Off,1986,1130,12,https://letterboxd.com/film/ferris-buellers-day-off/
163,Zootopia,2016,1129,12,https://letterboxd.com/film/zootopia/
164,Deadpool,2016,1127,12,https://letterboxd.com/film/deadpool/
165,Toy Story 3,2010,1126,12,https://letterboxd.com/film/toy-story-3/
166,Sixteen Candles,2016,1126,12,https://letterboxd.com/film/sixteen-candles/
167,Harry Potter and the Deathly Hallows Part 2,2011,1125,12,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
168,King Richard,2021,1121,12,https://letterboxd.com/film/king-richard/
